,filename,typing_result,touch_location
0,6pm-signup-1-clicked_frames_crop/bbox-1612.jpg,typing,onKeyboard
1,6pm-signup-1-clicked_frames_crop/bbox-1665.jpg,typing,onKeyboard
2,6pm-signup-1-clicked_frames_crop/bbox-1699.jpg,typing,onKeyboard
3,6pm-signup-1-clicked_frames_crop/bbox-1722.jpg,typing,onKeyboard
4,6pm-signup-1-clicked_frames_crop/bbox-1769.jpg,typing,onKeyboard
5,6pm-signup-1-clicked_frames_crop/bbox-1811.jpg,typing,onKeyboard
6,6pm-signup-1-clicked_frames_crop/bbox-1836.jpg,typing,onKeyboard
7,6pm-signup-1-clicked_frames_crop/bbox-1924.jpg,typing,onKeyboard
8,6pm-signup-1-clicked_frames_crop/bbox-1973.jpg,typing,onKeyboard
9,6pm-signup-1-clicked_frames_crop/bbox-2004.jpg,typing,onKeyboard
10,6pm-signup-1-clicked_frames_crop/bbox-2025.jpg,typing,onKeyboard
11,6pm-signup-1-clicked_frames_crop/bbox-2062.jpg,typing,onKeyboard
12,6pm-signup-1-clicked_frames_crop/bbox-2090.jpg,typing,onKeyboard
13,6pm-signup-1-clicked_frames_crop/bbox-2119.jpg,typing,onKeyboard
14,6pm-signup-1-clicked_frames_crop/bbox-2139.jpg,typing,onKeyboard
15,6pm-signup-1-clicked_frames_crop/bbox-2166.jpg,typing,out
16,6pm-signup-1-clicked_frames_crop/bbox-2335.jpg,typing,onKeyboard
17,6pm-signup-1-clicked_frames_crop/bbox-2353.jpg,typing,onKeyboard
18,6pm-signup-1-clicked_frames_crop/bbox-2370.jpg,typing,onKeyboard
19,6pm-signup-1-clicked_frames_crop/bbox-2493.jpg,typing,onKeyboard
20,6pm-signup-1-clicked_frames_crop/bbox-2542.jpg,typing,onKeyboard
21,6pm-signup-1-clicked_frames_crop/bbox-2558.jpg,typing,onKeyboard
22,6pm-signup-1-clicked_frames_crop/bbox-2588.jpg,typing,onKeyboard
23,6pm-signup-1-clicked_frames_crop/bbox-2604.jpg,typing,onKeyboard
24,6pm-signup-1-clicked_frames_crop/bbox-2624.jpg,typing,onKeyboard
25,6pm-signup-1-clicked_frames_crop/bbox-2670.jpg,typing,onKeyboard
26,6pm-signup-1-clicked_frames_crop/bbox-2722.jpg,typing,onKeyboard
27,6pm-signup-1-clicked_frames_crop/bbox-2776.jpg,typing,onKeyboard
28,6pm-signup-1-clicked_frames_crop/bbox-2797.jpg,typing,onKeyboard
29,6pm-signup-1-clicked_frames_crop/bbox-2816.jpg,typing,onKeyboard
30,6pm-signup-1-clicked_frames_crop/bbox-2827.jpg,typing,onKeyboard
31,6pm-signup-1-clicked_frames_crop/bbox-2851.jpg,typing,onKeyboard
