AUT,usage,test_id,human_video_id,human_states,generated_states,human_transitions,generated_transitions,state_coverage,transition_coverage,state_recall,transition_recall,effort,reduction,core_flag
abc,7-Detail,0,0,"['popup', 'popup', 'menu', 'items']","['get_started', 'popup', 'popup', 'menu', 'search', 'items']","['continue', 'apply', 'search_bar', 'item_i']","['continue', 'continue', 'continue', 'to_search', 'category_i', 'item_i']",1.0,0.5,0.6,0.5,4.0,0.0,
abc,7-Detail,1,0,"['popup', 'popup', 'menu', 'items']","['get_started', 'popup', 'popup', 'menu', 'items']","['continue', 'apply', 'search_bar', 'item_i']","['continue', 'continue', 'continue', 'category', 'item_i']",1.0,0.5,0.75,0.6666666666666666,3.0,0.25,
aliexpress,7-Detail,0,0,"['search', 'items']","['home', 'search', 'search', 'items']","['category_i', 'item_i']","['search_bar', 'search_bar', 'search', 'item_i']",1.0,0.5,0.6666666666666666,0.3333333333333333,3.0,-0.5,
aliexpress,7-Detail,0,1,"['search', 'items', 'items']","['home', 'search', 'search', 'items']","['category_i', 'item_i', 'item_i']","['search_bar', 'search_bar', 'search', 'item_i']",1.0,0.5,0.6666666666666666,0.3333333333333333,3.0,0.0,
aliexpress,7-Detail,1,0,"['search', 'items']","['home', 'items']","['category_i', 'item_i']","['category_i', 'item_i']",0.5,1.0,0.5,1.0,0.0,1.0,
aliexpress,7-Detail,1,1,"['search', 'items', 'items']","['home', 'items']","['category_i', 'item_i', 'item_i']","['category_i', 'item_i']",0.5,1.0,0.5,1.0,1.0,0.6666666666666666,
etsy,7-Detail,0,0,"['get_started', 'category', 'category', 'category', 'items', 'items']","['home', 'search', 'search', 'items']","['to_search', 'category_i', 'search', 'item_i']","['to_search', 'category_i', 'category_i', 'item_i']",0.3333333333333333,0.75,0.3333333333333333,1.0,1.0,0.75,
etsy,7-Detail,0,1,"['get_started', 'category', 'items']","['home', 'search', 'search', 'items']","['to_search', 'search_bar', 'item_i']","['to_search', 'category_i', 'category_i', 'item_i']",0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,2.0,0.3333333333333333,
etsy,7-Detail,0,2,"['get_started', 'category', 'items', 'items']","['home', 'search', 'search', 'items']","['to_search', 'search_bar', 'item_i']","['to_search', 'category_i', 'category_i', 'item_i']",0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,2.0,0.3333333333333333,
etsy,7-Detail,0,3,"['get_started', 'category', 'items', 'item_detail']","['home', 'search', 'search', 'items']","['to_search', 'search_bar', 'item_i', 'item_i']","['to_search', 'category_i', 'category_i', 'item_i']",0.25,0.6666666666666666,0.3333333333333333,0.6666666666666666,2.0,0.5,
etsy,7-Detail,1,0,"['get_started', 'category', 'category', 'category', 'items', 'items']","['home', 'menu', 'home', 'search', 'search', 'items']","['to_search', 'category_i', 'search', 'item_i']","['menu', 'to_home', 'to_search', 'search_bar', 'category_i', 'item_i']",0.3333333333333333,0.75,0.25,0.5,4.0,0.0,
etsy,7-Detail,1,1,"['get_started', 'category', 'items']","['home', 'menu', 'home', 'search', 'search', 'items']","['to_search', 'search_bar', 'item_i']","['menu', 'to_home', 'to_search', 'search_bar', 'category_i', 'item_i']",0.3333333333333333,1.0,0.25,0.5,3.0,0.0,
etsy,7-Detail,1,2,"['get_started', 'category', 'items', 'items']","['home', 'menu', 'home', 'search', 'search', 'items']","['to_search', 'search_bar', 'item_i']","['menu', 'to_home', 'to_search', 'search_bar', 'category_i', 'item_i']",0.3333333333333333,1.0,0.25,0.5,3.0,0.0,
etsy,7-Detail,1,3,"['get_started', 'category', 'items', 'item_detail']","['home', 'menu', 'home', 'search', 'search', 'items']","['to_search', 'search_bar', 'item_i', 'item_i']","['menu', 'to_home', 'to_search', 'search_bar', 'category_i', 'item_i']",0.25,1.0,0.25,0.5,3.0,0.25,
