AUT,usage,test_id,human_video_id,human_states,generated_states,human_transitions,generated_transitions,state_coverage,transition_coverage,state_recall,transition_recall,effort,reduction,core_flag
abc,3-Category,0,0,"['get_started', 'popup', 'popup', 'category', 'category', 'category', 'category']","['get_started', 'popup', 'popup', 'popup', 'menu', 'category']","['continue', 'continue', 'apply', 'popular', 'down', 'category_i']","['continue', 'continue', 'continue', 'apply', 'category', 'category_i']",1.0,0.6,0.75,0.75,3.0,0.5,
abc,3-Category,0,1,"['get_started', 'popup', 'popup', 'home', 'menu', 'menu']","['get_started', 'popup', 'popup', 'popup', 'menu', 'category']","['continue', 'continue', 'apply', 'menu', 'search_bar', 'category_i']","['continue', 'continue', 'continue', 'apply', 'category', 'category_i']",0.75,0.6,0.75,0.75,3.0,0.5,
abc,3-Category,1,0,"['get_started', 'popup', 'popup', 'category', 'category', 'category', 'category']","['get_started', 'popup', 'popup', 'menu']","['continue', 'continue', 'apply', 'popular', 'down', 'category_i']","['continue', 'continue', 'apply', 'category_i']",0.6666666666666666,0.6,0.6666666666666666,1.0,2.0,0.6666666666666666,
abc,3-Category,1,1,"['get_started', 'popup', 'popup', 'home', 'menu', 'menu']","['get_started', 'popup', 'popup', 'menu']","['continue', 'continue', 'apply', 'menu', 'search_bar', 'category_i']","['continue', 'continue', 'apply', 'category_i']",0.75,0.6,1.0,1.0,2.0,0.6666666666666666,
usatoday,3-Category,0,0,"['get_started', 'get_started', 'get_started', 'get_started', 'get_started', 'home', 'bookmark']","['get_started', 'get_started', 'get_started', 'home', 'category']","['continue', 'continue', 'add', 'add', 'continue', 'bookmark', 'item_i']","['left', 'continue', 'category', 'category_i']",0.6666666666666666,0.25,0.6666666666666666,0.25,6.0,0.14285714285714285,
usatoday,3-Category,0,1,"['get_started', 'get_started', 'home', 'category']","['get_started', 'get_started', 'get_started', 'home', 'category']","['continue', 'continue', 'category', 'category_i']","['left', 'continue', 'category', 'category_i']",1.0,1.0,1.0,0.75,1.0,0.75,
usatoday,3-Category,1,0,"['get_started', 'get_started', 'get_started', 'get_started', 'get_started', 'home', 'bookmark']","['get_started', 'get_started', 'get_started', 'home', 'category']","['continue', 'continue', 'add', 'add', 'continue', 'bookmark', 'item_i']","['continue', 'continue', 'continue', 'category', 'category_i']",0.6666666666666666,0.25,0.6666666666666666,0.3333333333333333,4.0,0.42857142857142855,
usatoday,3-Category,1,1,"['get_started', 'get_started', 'home', 'category']","['get_started', 'get_started', 'get_started', 'home', 'category']","['continue', 'continue', 'category', 'category_i']","['continue', 'continue', 'continue', 'category', 'category_i']",1.0,1.0,1.0,1.0,1.0,0.75,
6pm,3-Category,0,0,"['home', 'category', 'category', 'filter', 'filter']",['home'],"['category_i', 'category_i', 'category_i', 'filter', 'category_i']",['category_i'],0.3333333333333333,0.5,1.0,1.0,4.0,0.2,
6pm,3-Category,0,1,"['category', 'category', 'category', 'filter']",['home'],"['category_i', 'category_i', 'category_i', 'category_i']",['category_i'],0.0,1.0,0.0,1.0,3.0,0.25,
6pm,3-Category,1,0,"['home', 'category', 'category', 'filter', 'filter']","['home', 'menu', 'popup', 'home']","['category_i', 'category_i', 'category_i', 'filter', 'category_i']","['menu', 'category', 'continue', 'category_i']",0.3333333333333333,0.5,0.3333333333333333,0.25,4.0,0.2,
6pm,3-Category,1,1,"['category', 'category', 'category', 'filter']","['home', 'menu', 'popup', 'home']","['category_i', 'category_i', 'category_i', 'category_i']","['menu', 'category', 'continue', 'category_i']",0.0,1.0,0.0,0.25,3.0,0.25,
