AUT,usage,test_id,human_video_id,human_states,generated_states,human_transitions,generated_transitions,state_coverage,transition_coverage,state_recall,transition_recall,effort,reduction,core_flag
aliexpress,2-SignUp,0,0,"['home', 'signin_or_signup', 'sign_up', 'sign_up']","['home', 'account', 'get_started', 'sign_up', 'sign_up', 'sign_up']","['account', 'to_signin_or_signup', 'sign_up', 'sign_up']","['account', 'to_signin_or_signup', 'to_signin_or_signup', 'email', 'password', 'sign_up']",0.6666666666666666,1.0,0.5,0.6,3.0,0.25,
aliexpress,2-SignUp,0,1,"['home', 'home', 'signin_or_signup', 'sign_up', 'sign_up']","['home', 'account', 'get_started', 'sign_up', 'sign_up', 'sign_up']","['bookmark', 'to_signin_or_signup', 'to_signin_or_signup', 'sign_up', 'sign_up']","['account', 'to_signin_or_signup', 'to_signin_or_signup', 'email', 'password', 'sign_up']",0.6666666666666666,0.6666666666666666,0.5,0.4,3.0,0.4,
aliexpress,2-SignUp,0,2,"['home', 'account', 'popup', 'account', 'signin_or_signup', 'sign_up', 'sign_up', 'popup', 'sign_up', 'sign_up', 'sign_up']","['home', 'account', 'get_started', 'sign_up', 'sign_up', 'sign_up']","['account', 'continue', 'to_signin_or_signup', 'to_signin_or_signup', 'password', 'sign_up', 'continue', 'email', 'password', 'sign_up']","['account', 'to_signin_or_signup', 'to_signin_or_signup', 'email', 'password', 'sign_up']",0.6,0.8333333333333334,0.75,1.0,4.0,0.6,
aliexpress,2-SignUp,1,0,"['home', 'signin_or_signup', 'sign_up', 'sign_up']","['home', 'account', 'get_started', 'sign_in', 'sign_up', 'sign_up', 'sign_up']","['account', 'to_signin_or_signup', 'sign_up', 'sign_up']","['account', 'to_signin_or_signup', 'to_signin_or_signup', 'to_signin_or_signup', 'email', 'password', 'sign_up']",0.6666666666666666,1.0,0.4,0.6,4.0,0.0,
aliexpress,2-SignUp,1,1,"['home', 'home', 'signin_or_signup', 'sign_up', 'sign_up']","['home', 'account', 'get_started', 'sign_in', 'sign_up', 'sign_up', 'sign_up']","['bookmark', 'to_signin_or_signup', 'to_signin_or_signup', 'sign_up', 'sign_up']","['account', 'to_signin_or_signup', 'to_signin_or_signup', 'to_signin_or_signup', 'email', 'password', 'sign_up']",0.6666666666666666,0.6666666666666666,0.4,0.4,4.0,0.2,
aliexpress,2-SignUp,1,2,"['home', 'account', 'popup', 'account', 'signin_or_signup', 'sign_up', 'sign_up', 'popup', 'sign_up', 'sign_up', 'sign_up']","['home', 'account', 'get_started', 'sign_in', 'sign_up', 'sign_up', 'sign_up']","['account', 'continue', 'to_signin_or_signup', 'to_signin_or_signup', 'password', 'sign_up', 'continue', 'email', 'password', 'sign_up']","['account', 'to_signin_or_signup', 'to_signin_or_signup', 'to_signin_or_signup', 'email', 'password', 'sign_up']",0.6,0.8333333333333334,0.6,1.0,4.0,0.6,
etsy,2-SignUp,0,0,"['get_started', 'signin_or_signup', 'sign_in', 'sign_up', 'sign_up', 'sign_up', 'sign_up', 'sign_up', 'sign_up', 'sign_up']","['get_started', 'signin_or_signup', 'sign_up', 'sign_up', 'sign_up', 'sign_up', 'sign_up', 'sign_up', 'sign_up']","['continue', 'to_signin_or_signup', 'multi_form', 'multi_form', 'multi_form', 'multi_form', 'multi_form', 'multi_form', 'multi_form', 'multi_form']","['continue', 'to_signin_or_signup', 'email', 'name', 'password', 'password', 'name', 'name', 'sign_up']",0.75,0.6666666666666666,1.0,0.3333333333333333,8.0,0.2,
etsy,2-SignUp,0,1,"['get_started', 'signin_or_signup', 'sign_up', 'sign_up', 'sign_up', 'sign_up', 'sign_up', 'sign_up', 'sign_up']","['get_started', 'signin_or_signup', 'sign_up', 'sign_up', 'sign_up', 'sign_up', 'sign_up', 'sign_up', 'sign_up']","['continue', 'to_signin_or_signup', 'multi_form', 'multi_form', 'multi_form', 'multi_form', 'multi_form', 'multi_form', 'multi_form']","['continue', 'to_signin_or_signup', 'email', 'name', 'password', 'password', 'name', 'name', 'sign_up']",1.0,0.6666666666666666,1.0,0.3333333333333333,7.0,0.2222222222222222,
etsy,2-SignUp,0,2,"['home', 'cart', 'sign_up', 'sign_up', 'get_started', 'menu', 'signin_or_signup', 'sign_up', 'sign_up', 'sign_up', 'sign_up', 'sign_up']","['get_started', 'signin_or_signup', 'sign_up', 'sign_up', 'sign_up', 'sign_up', 'sign_up', 'sign_up', 'sign_up']","['cart', 'popular', 'multi_form', 'sign_up', 'menu', 'to_home', 'to_signin_or_signup', 'multi_form', 'multi_form', 'multi_form', 'multi_form', 'multi_form']","['continue', 'to_signin_or_signup', 'email', 'name', 'password', 'password', 'name', 'name', 'sign_up']",0.5,0.2857142857142857,1.0,0.3333333333333333,12.0,0.0,
etsy,2-SignUp,0,3,"['get_started', 'signin_or_signup', 'sign_up', 'sign_up', 'sign_up', 'sign_up', 'sign_up', 'sign_up', 'sign_up']","['get_started', 'signin_or_signup', 'sign_up', 'sign_up', 'sign_up', 'sign_up', 'sign_up', 'sign_up', 'sign_up']","['continue', 'to_signin_or_signup', 'multi_form', 'multi_form', 'multi_form', 'multi_form', 'multi_form', 'multi_form', 'multi_form']","['continue', 'to_signin_or_signup', 'email', 'name', 'password', 'password', 'name', 'name', 'sign_up']",1.0,0.6666666666666666,1.0,0.3333333333333333,7.0,0.2222222222222222,
etsy,2-SignUp,0,4,"['menu', 'signin_or_signup', 'sign_up', 'sign_up', 'sign_up', 'sign_up', 'sign_up', 'sign_up', 'sign_up']","['get_started', 'signin_or_signup', 'sign_up', 'sign_up', 'sign_up', 'sign_up', 'sign_up', 'sign_up', 'sign_up']","['to_signin_or_signup', 'to_signin_or_signup', 'multi_form', 'multi_form', 'multi_form', 'multi_form', 'multi_form', 'multi_form', 'multi_form']","['continue', 'to_signin_or_signup', 'email', 'name', 'password', 'password', 'name', 'name', 'sign_up']",0.6666666666666666,0.5,0.6666666666666666,0.16666666666666666,8.0,0.1111111111111111,
etsy,2-SignUp,0,5,"['sign_up', 'sign_up', 'sign_up', 'sign_up', 'sign_up']","['get_started', 'signin_or_signup', 'sign_up', 'sign_up', 'sign_up', 'sign_up', 'sign_up', 'sign_up', 'sign_up']","['multi_form', 'multi_form', 'multi_form', 'multi_form', 'multi_form']","['continue', 'to_signin_or_signup', 'email', 'name', 'password', 'password', 'name', 'name', 'sign_up']",1.0,0.0,0.3333333333333333,0.0,9.0,-0.8,
etsy,2-SignUp,1,0,"['get_started', 'signin_or_signup', 'sign_in', 'sign_up', 'sign_up', 'sign_up', 'sign_up', 'sign_up', 'sign_up', 'sign_up']","['get_started', 'signin_or_signup', 'sign_in', 'sign_up', 'sign_up', 'sign_up', 'sign_up', 'sign_up', 'sign_up', 'sign_up']","['continue', 'to_signin_or_signup', 'multi_form', 'multi_form', 'multi_form', 'multi_form', 'multi_form', 'multi_form', 'multi_form', 'multi_form']","['continue', 'to_signin_or_signup', 'to_signin_or_signup', 'email', 'name', 'password', 'password', 'name', 'name', 'sign_up']",1.0,0.6666666666666666,1.0,0.3333333333333333,8.0,0.2,
etsy,2-SignUp,1,1,"['get_started', 'signin_or_signup', 'sign_up', 'sign_up', 'sign_up', 'sign_up', 'sign_up', 'sign_up', 'sign_up']","['get_started', 'signin_or_signup', 'sign_in', 'sign_up', 'sign_up', 'sign_up', 'sign_up', 'sign_up', 'sign_up', 'sign_up']","['continue', 'to_signin_or_signup', 'multi_form', 'multi_form', 'multi_form', 'multi_form', 'multi_form', 'multi_form', 'multi_form']","['continue', 'to_signin_or_signup', 'to_signin_or_signup', 'email', 'name', 'password', 'password', 'name', 'name', 'sign_up']",1.0,0.6666666666666666,0.75,0.3333333333333333,8.0,0.1111111111111111,
