AUT,usage,test_id,human_video_id,human_states,generated_states,human_transitions,generated_transitions,state_coverage,transition_coverage,state_recall,transition_recall,effort,reduction,core_flag
aliexpress,1-SignIn,0,0,"['signin_or_signup', 'sign_in', 'sign_in', 'sign_in']","['home', 'account', 'signin_or_signup', 'sign_in', 'sign_in', 'sign_in']","['to_signin_or_signup', 'email', 'password', 'sign_in']","['account', 'to_signin_or_signup', 'to_signin_or_signup', 'password', 'email', 'sign_in']",1.0,1.0,0.5,0.8,3.0,0.25,
aliexpress,1-SignIn,0,1,"['home', 'cart', 'item_detail', 'item_detail', 'item_detail', 'signin_or_signup', 'sign_in', 'sign_in', 'sign_in']","['home', 'account', 'signin_or_signup', 'sign_in', 'sign_in', 'sign_in']","['cart', 'cart', 'buy', 'number', 'continue', 'to_signin_or_signup', 'email', 'password', 'sign_in']","['account', 'to_signin_or_signup', 'to_signin_or_signup', 'password', 'email', 'sign_in']",0.6,0.5,0.75,0.8,7.0,0.2222222222222222,
aliexpress,1-SignIn,0,2,"['home', 'account', 'signin_or_signup', 'sign_in', 'sign_in', 'sign_in']","['home', 'account', 'signin_or_signup', 'sign_in', 'sign_in', 'sign_in']","['account', 'to_signin_or_signup', 'to_signin_or_signup', 'email', 'password', 'sign_in']","['account', 'to_signin_or_signup', 'to_signin_or_signup', 'password', 'email', 'sign_in']",1.0,1.0,1.0,1.0,2.0,0.6666666666666666,
aliexpress,1-SignIn,1,0,"['signin_or_signup', 'sign_in', 'sign_in', 'sign_in']","['home', 'cart', 'account', 'signin_or_signup', 'sign_in', 'sign_in', 'sign_in']","['to_signin_or_signup', 'email', 'password', 'sign_in']","['cart', 'account', 'to_signin_or_signup', 'to_signin_or_signup', 'email', 'password', 'sign_in']",1.0,1.0,0.4,0.6666666666666666,3.0,0.25,
aliexpress,1-SignIn,1,1,"['home', 'cart', 'item_detail', 'item_detail', 'item_detail', 'signin_or_signup', 'sign_in', 'sign_in', 'sign_in']","['home', 'cart', 'account', 'signin_or_signup', 'sign_in', 'sign_in', 'sign_in']","['cart', 'cart', 'buy', 'number', 'continue', 'to_signin_or_signup', 'email', 'password', 'sign_in']","['cart', 'account', 'to_signin_or_signup', 'to_signin_or_signup', 'email', 'password', 'sign_in']",0.8,0.625,0.8,0.8333333333333334,4.0,0.5555555555555556,
aliexpress,1-SignIn,1,2,"['home', 'account', 'signin_or_signup', 'sign_in', 'sign_in', 'sign_in']","['home', 'cart', 'account', 'signin_or_signup', 'sign_in', 'sign_in', 'sign_in']","['account', 'to_signin_or_signup', 'to_signin_or_signup', 'email', 'password', 'sign_in']","['cart', 'account', 'to_signin_or_signup', 'to_signin_or_signup', 'email', 'password', 'sign_in']",1.0,1.0,0.8,0.8333333333333334,1.0,0.8333333333333334,
wish,1-SignIn,0,0,"['sign_in', 'sign_in', 'sign_in', 'sign_in']","['sign_up', 'sign_in', 'sign_in', 'sign_in']","['password', 'up', 'password', 'sign_in']","['to_signin_or_signup', 'email', 'password', 'sign_in']",1.0,0.6666666666666666,0.5,0.5,2.0,0.5,
wish,1-SignIn,0,1,"['sign_in', 'sign_in', 'sign_in', 'sign_in', 'popup']","['sign_up', 'sign_in', 'sign_in', 'sign_in']","['email', 'password', 'up', 'sign_in', 'continue']","['to_signin_or_signup', 'email', 'password', 'sign_in']",0.5,0.6,0.5,0.75,3.0,0.4,
wish,1-SignIn,0,2,"['pwd_assistant', 'popup', 'sign_in', 'sign_in']","['sign_up', 'sign_in', 'sign_in', 'sign_in']","['continue', 'continue', 'password', 'sign_in']","['to_signin_or_signup', 'email', 'password', 'sign_in']",0.3333333333333333,0.6666666666666666,0.5,0.5,2.0,0.5,
wish,1-SignIn,0,3,"['sign_in', 'sign_in', 'sign_in', 'sign_in', 'popup', 'pwd_assistant', 'sign_in', 'sign_in', 'sign_in', 'popup']","['sign_up', 'sign_in', 'sign_in', 'sign_in']","['email', 'password', 'up', 'sign_in', 'continue', 'back', 'email', 'password', 'sign_in', 'continue']","['to_signin_or_signup', 'email', 'password', 'sign_in']",0.3333333333333333,0.5,0.5,0.75,7.0,0.3,
wish,1-SignIn,1,0,"['sign_in', 'sign_in', 'sign_in', 'sign_in']","['sign_up', 'sign_in', 'pwd_assistant', 'popup', 'pwd_assistant', 'pwd_assistant']","['password', 'up', 'password', 'sign_in']","['to_signin_or_signup', 'forget_pwd', 'continue', 'apply', 'email', 'continue']",1.0,0.0,0.25,0.0,6.0,-0.5,
wish,1-SignIn,1,1,"['sign_in', 'sign_in', 'sign_in', 'sign_in', 'popup']","['sign_up', 'sign_in', 'pwd_assistant', 'popup', 'pwd_assistant', 'pwd_assistant']","['email', 'password', 'up', 'sign_in', 'continue']","['to_signin_or_signup', 'forget_pwd', 'continue', 'apply', 'email', 'continue']",1.0,0.4,0.5,0.4,5.0,0.0,
wish,1-SignIn,1,2,"['pwd_assistant', 'popup', 'sign_in', 'sign_in']","['sign_up', 'sign_in', 'pwd_assistant', 'popup', 'pwd_assistant', 'pwd_assistant']","['continue', 'continue', 'password', 'sign_in']","['to_signin_or_signup', 'forget_pwd', 'continue', 'apply', 'email', 'continue']",1.0,0.3333333333333333,0.75,0.2,5.0,-0.25,
wish,1-SignIn,1,3,"['sign_in', 'sign_in', 'sign_in', 'sign_in', 'popup', 'pwd_assistant', 'sign_in', 'sign_in', 'sign_in', 'popup']","['sign_up', 'sign_in', 'pwd_assistant', 'popup', 'pwd_assistant', 'pwd_assistant']","['email', 'password', 'up', 'sign_in', 'continue', 'back', 'email', 'password', 'sign_in', 'continue']","['to_signin_or_signup', 'forget_pwd', 'continue', 'apply', 'email', 'continue']",1.0,0.3333333333333333,0.75,0.4,7.0,0.3,
etsy,1-SignIn,0,0,"['get_started', 'signin_or_signup', 'sign_in']","['home', 'menu', 'signin_or_signup', 'sign_in', 'sign_in', 'sign_in']","['continue', 'to_signin_or_signup', 'sign_in']","['menu', 'to_signin_or_signup', 'to_signin_or_signup', 'email', 'password', 'sign_in']",0.6666666666666666,0.6666666666666666,0.5,0.4,4.0,-0.3333333333333333,
etsy,1-SignIn,0,1,"['get_started', 'signin_or_signup', 'sign_in', 'sign_in', 'sign_in', 'sign_in']","['home', 'menu', 'signin_or_signup', 'sign_in', 'sign_in', 'sign_in']","['continue', 'to_signin_or_signup', 'multi_form', 'sign_in', 'password', 'sign_in']","['menu', 'to_signin_or_signup', 'to_signin_or_signup', 'email', 'password', 'sign_in']",0.6666666666666666,0.6,0.5,0.6,3.0,0.5,
etsy,1-SignIn,1,0,"['get_started', 'signin_or_signup', 'sign_in']","['home', 'signin_or_signup', 'sign_in', 'sign_in', 'sign_in']","['continue', 'to_signin_or_signup', 'sign_in']","['continue', 'to_signin_or_signup', 'email', 'password', 'sign_in']",0.6666666666666666,1.0,0.6666666666666666,0.6,2.0,0.3333333333333333,
etsy,1-SignIn,1,1,"['get_started', 'signin_or_signup', 'sign_in', 'sign_in', 'sign_in', 'sign_in']","['home', 'signin_or_signup', 'sign_in', 'sign_in', 'sign_in']","['continue', 'to_signin_or_signup', 'multi_form', 'sign_in', 'password', 'sign_in']","['continue', 'to_signin_or_signup', 'email', 'password', 'sign_in']",0.6666666666666666,0.8,0.6666666666666666,0.8,2.0,0.6666666666666666,
