AUT,usage,test_id,human_video_id,human_states,generated_states,human_transitions,generated_transitions,state_coverage,transition_coverage,state_recall,transition_recall,effort,reduction,core_flag
aliexpress,2-SignUp,0,0,"['home', 'signin_or_signup', 'sign_up', 'sign_up']","['home', 'account', 'signin_or_signup', 'sign_up', 'sign_up', 'sign_up']","['account', 'to_signin_or_signup', 'sign_up', 'sign_up']","['account', 'to_signin_or_signup', 'to_signin_or_signup', 'email', 'password', 'sign_up']",1.0,1.0,0.75,0.6,3.0,0.25,
aliexpress,2-SignUp,0,1,"['signin_or_signup', 'sign_up', 'sign_up']","['home', 'account', 'signin_or_signup', 'sign_up', 'sign_up', 'sign_up']","['to_signin_or_signup', 'sign_up', 'sign_up']","['account', 'to_signin_or_signup', 'to_signin_or_signup', 'email', 'password', 'sign_up']",1.0,1.0,0.5,0.4,4.0,-0.3333333333333333,
aliexpress,2-SignUp,0,2,"['home', 'account', 'popup', 'account', 'account', 'home', 'popup', 'items', 'signin_or_signup', 'sign_up', 'sign_up']","['home', 'account', 'signin_or_signup', 'sign_up', 'sign_up', 'sign_up']","['account', 'continue', 'popup', 'popup', 'popup', 'back', 'to_signin_or_signup', 'password', 'sign_up']","['account', 'to_signin_or_signup', 'to_signin_or_signup', 'email', 'password', 'sign_up']",0.6666666666666666,0.5714285714285714,1.0,0.8,6.0,0.3333333333333333,
aliexpress,2-SignUp,0,3,"['home', 'account', 'sign_up', 'signin_or_signup', 'sign_up', 'popup']","['home', 'account', 'signin_or_signup', 'sign_up', 'sign_up', 'sign_up']","['account', 'shipped', 'back', 'to_signin_or_signup', 'password', 'continue']","['account', 'to_signin_or_signup', 'to_signin_or_signup', 'email', 'password', 'sign_up']",0.8,0.5,1.0,0.6,4.0,0.3333333333333333,
aliexpress,2-SignUp,0,4,"['home', 'home', 'signin_or_signup', 'sign_up', 'sign_up']","['home', 'account', 'signin_or_signup', 'sign_up', 'sign_up', 'sign_up']","['bookmark', 'to_signin_or_signup', 'to_signin_or_signup', 'sign_up', 'sign_up']","['account', 'to_signin_or_signup', 'to_signin_or_signup', 'email', 'password', 'sign_up']",1.0,0.6666666666666666,0.75,0.4,3.0,0.4,
aliexpress,2-SignUp,0,5,"['home', 'account', 'popup', 'account', 'signin_or_signup', 'sign_up', 'sign_up', 'popup', 'sign_up', 'sign_up', 'sign_up']","['home', 'account', 'signin_or_signup', 'sign_up', 'sign_up', 'sign_up']","['account', 'continue', 'to_signin_or_signup', 'to_signin_or_signup', 'password', 'sign_up', 'continue', 'email', 'password', 'sign_up']","['account', 'to_signin_or_signup', 'to_signin_or_signup', 'email', 'password', 'sign_up']",0.8,0.8333333333333334,1.0,1.0,4.0,0.6,
etsy,2-SignUp,0,0,"['get_started', 'signin_or_signup', 'sign_in', 'sign_up', 'sign_up', 'sign_up', 'sign_up', 'sign_up', 'sign_up', 'sign_up']","['get_started', 'signin_or_signup', 'sign_up', 'sign_up', 'sign_up', 'sign_up', 'sign_up', 'sign_up', 'sign_up']","['continue', 'to_signin_or_signup', 'multi_form', 'multi_form', 'multi_form', 'multi_form', 'multi_form', 'multi_form', 'multi_form', 'multi_form']","['to_signin_or_signup', 'to_signin_or_signup', 'email', 'username', 'password', 'confirm_password', 'name', 'name', 'sign_up']",0.75,0.3333333333333333,1.0,0.14285714285714285,9.0,0.1,
etsy,2-SignUp,0,1,"['get_started', 'signin_or_signup', 'sign_up', 'sign_up', 'sign_up', 'sign_up', 'sign_up', 'sign_up', 'sign_up']","['get_started', 'signin_or_signup', 'sign_up', 'sign_up', 'sign_up', 'sign_up', 'sign_up', 'sign_up', 'sign_up']","['continue', 'to_signin_or_signup', 'multi_form', 'multi_form', 'multi_form', 'multi_form', 'multi_form', 'multi_form', 'multi_form']","['to_signin_or_signup', 'to_signin_or_signup', 'email', 'username', 'password', 'confirm_password', 'name', 'name', 'sign_up']",1.0,0.3333333333333333,1.0,0.14285714285714285,8.0,0.1111111111111111,
etsy,2-SignUp,0,2,"['home', 'cart', 'sign_up', 'sign_up', 'get_started', 'menu', 'signin_or_signup', 'sign_up', 'sign_up', 'sign_up', 'sign_up', 'sign_up']","['get_started', 'signin_or_signup', 'sign_up', 'sign_up', 'sign_up', 'sign_up', 'sign_up', 'sign_up', 'sign_up']","['cart', 'popular', 'multi_form', 'sign_up', 'menu', 'home', 'to_signin_or_signup', 'multi_form', 'multi_form', 'multi_form', 'multi_form', 'multi_form']","['to_signin_or_signup', 'to_signin_or_signup', 'email', 'username', 'password', 'confirm_password', 'name', 'name', 'sign_up']",0.5,0.2857142857142857,1.0,0.2857142857142857,12.0,0.0,
etsy,2-SignUp,0,3,"['get_started', 'signin_or_signup', 'sign_up', 'sign_up', 'sign_up', 'sign_up', 'sign_up', 'sign_up', 'sign_up']","['get_started', 'signin_or_signup', 'sign_up', 'sign_up', 'sign_up', 'sign_up', 'sign_up', 'sign_up', 'sign_up']","['continue', 'to_signin_or_signup', 'multi_form', 'multi_form', 'multi_form', 'multi_form', 'multi_form', 'multi_form', 'multi_form']","['to_signin_or_signup', 'to_signin_or_signup', 'email', 'username', 'password', 'confirm_password', 'name', 'name', 'sign_up']",1.0,0.3333333333333333,1.0,0.14285714285714285,8.0,0.1111111111111111,
