AUT,usage,test_id,human_video_id,human_states,generated_states,human_transitions,generated_transitions,state_coverage,transition_coverage,state_recall,transition_recall,effort,reduction,core_flag
abc,9-About,0,0,"['get_started', 'popup', 'menu', 'menu', 'menu']","['get_started', 'popup', 'popup', 'menu', 'menu']","['bypass', 'deny', 'up', 'menu_settings']","['continue', 'continue', 'continue', 'menu_settings']",1.0,0.25,1.0,0.5,3.0,0.25,
abc,9-About,0,1,"['get_started', 'popup', 'popup', 'menu', 'menu', 'menu']","['get_started', 'popup', 'popup', 'menu', 'menu']","['bypass', 'popup', 'deny', 'up', 'menu_settings']","['continue', 'continue', 'continue', 'menu_settings']",1.0,0.2,1.0,0.5,4.0,0.2,
usatoday,9-About,0,0,"['get_started', 'get_started', 'get_started', 'get_started', 'category', 'setting', 'about']","['get_started', 'get_started', 'get_started', 'home', 'account', 'setting']","['continue', 'continue', 'add', 'continue', 'menu_settings', 'about', 'about']","['continue', 'continue', 'continue', 'account', 'menu_settings', 'about']",0.5,0.75,0.5,0.75,3.0,0.5714285714285714,
usatoday,9-About,0,1,"['get_started', 'get_started', 'home', 'setting', 'setting']","['get_started', 'get_started', 'get_started', 'home', 'account', 'setting']","['continue', 'continue', 'menu_settings', 'about', 'about']","['continue', 'continue', 'continue', 'account', 'menu_settings', 'about']",1.0,1.0,0.75,0.75,3.0,0.4,
6pm,9-About,0,0,"['home', 'menu', 'setting', 'setting', 'setting', 'setting']","['home', 'menu', 'setting', 'setting']","['menu', 'menu_settings', 'up', 'about']","['menu', 'menu_settings', 'about']",1.0,0.75,1.0,1.0,1.0,0.75,
6pm,9-About,0,1,"['home', 'menu']","['home', 'menu', 'setting', 'setting']","['menu', 'menu_settings']","['menu', 'menu_settings', 'about']",1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,0.5,
