AUT,usage,test_id,human_video_id,human_states,generated_states,human_transitions,generated_transitions,state_coverage,transition_coverage,state_recall,transition_recall,effort,reduction,core_flag
home,6-Account,0,0,"['sign_in', 'sign_in', 'sign_in', 'home', 'home', 'menu', 'setting', 'setting']","['sign_in', 'sign_in', 'sign_in', 'home', 'menu', 'account', 'popup', 'account', 'account', 'home']","['email', 'password', 'sign_in', 'deny', 'menu', 'menu_settings', 'account', 'account']","['email', 'password', 'sign_in', 'menu', 'account', 'account', 'continue', 'to_signin_or_signup', 'back', 'menu']",0.75,0.7142857142857143,0.6,0.625,6.0,0.25,
home,6-Account,0,1,"['sign_in', 'sign_in', 'sign_in', 'home']","['sign_in', 'sign_in', 'sign_in', 'home', 'menu', 'account', 'popup', 'account', 'account', 'home']","['sign_in', 'password', 'sign_in', 'menu']","['email', 'password', 'sign_in', 'menu', 'account', 'account', 'continue', 'to_signin_or_signup', 'back', 'menu']",1.0,1.0,0.4,0.375,7.0,-0.75,
wish,6-Account,0,0,"['sign_in', 'sign_in', 'sign_in', 'home', 'home', 'menu']","['sign_in', 'sign_in', 'sign_in', 'home', 'menu']","['email', 'password', 'sign_in', 'to_search', 'menu', 'account']","['email', 'password', 'sign_in', 'menu', 'account']",1.0,0.8333333333333334,1.0,1.0,1.0,0.8333333333333334,
wish,6-Account,0,1,"['sign_in', 'sign_in', 'sign_in', 'home', 'menu', 'menu', 'setting']","['sign_in', 'sign_in', 'sign_in', 'home', 'menu']","['email', 'password', 'sign_in', 'menu', 'menu_settings', 'account']","['email', 'password', 'sign_in', 'menu', 'account']",0.75,0.8333333333333334,1.0,1.0,1.0,0.8333333333333334,
wish,6-Account,0,2,"['sign_in', 'sign_in', 'sign_in', 'home', 'setting', 'setting', 'setting']","['sign_in', 'sign_in', 'sign_in', 'home', 'menu']","['email', 'password', 'sign_in', 'menu', 'up', 'account']","['email', 'password', 'sign_in', 'menu', 'account']",0.6666666666666666,0.8333333333333334,0.6666666666666666,1.0,1.0,0.8333333333333334,
wish,6-Account,0,3,"['sign_in', 'sign_in', 'sign_in', 'popup', 'popup', 'home', 'menu']","['sign_in', 'sign_in', 'sign_in', 'home', 'menu']","['email', 'password', 'sign_in', 'continue', 'continue', 'menu', 'account']","['email', 'password', 'sign_in', 'menu', 'account']",0.75,0.8333333333333334,1.0,1.0,2.0,0.7142857142857143,
wish,6-Account,0,4,"['sign_in', 'sign_in', 'sign_in', 'home', 'menu']","['sign_in', 'sign_in', 'sign_in', 'home', 'menu']","['email', 'password', 'sign_in', 'menu', 'account']","['email', 'password', 'sign_in', 'menu', 'account']",1.0,1.0,1.0,1.0,0.0,1.0,
wish,6-Account,0,5,"['sign_in', 'sign_in', 'sign_in', 'popup', 'home']","['sign_in', 'sign_in', 'sign_in', 'home', 'menu']","['email', 'password', 'sign_in', 'continue', 'menu']","['email', 'password', 'sign_in', 'menu', 'account']",0.6666666666666666,0.8,0.6666666666666666,0.8,2.0,0.6,
6pm,6-Account,0,0,"['home', 'home']","['home', 'menu']","['menu_more', 'account']","['menu_more', 'account']",1.0,1.0,0.5,1.0,0.0,1.0,
6pm,6-Account,0,1,"['home', 'menu']","['home', 'menu']","['menu', 'account']","['menu_more', 'account']",1.0,0.5,1.0,0.5,1.0,0.5,
