AUT,usage,test_id,human_video_id,human_states,generated_states,human_transitions,generated_transitions,state_coverage,transition_coverage,state_recall,transition_recall,effort,reduction,core_flag
home,10-Contact,0,0,"['sign_in', 'sign_in', 'sign_in', 'home', 'menu', 'menu']","['sign_in', 'sign_in', 'sign_in', 'home', 'home', 'item_detail', 'item_detail', 'item_detail', 'item_detail', 'popup', 'item_detail', 'popup']","['email', 'password', 'sign_in', 'menu', 'contact']","['email', 'password', 'sign_in', 'category_i', 'item_i', 'buy', 'category_i', 'buy', 'buy', 'continue', 'buy', 'continue']",0.6666666666666666,0.6,0.5,0.42857142857142855,9.0,-0.8,
home,10-Contact,0,1,"['sign_in', 'sign_in', 'sign_in', 'menu', 'menu']","['sign_in', 'sign_in', 'sign_in', 'home', 'home', 'item_detail', 'item_detail', 'item_detail', 'item_detail', 'popup', 'item_detail', 'popup']","['email', 'password', 'sign_in', 'contact']","['email', 'password', 'sign_in', 'category_i', 'item_i', 'buy', 'category_i', 'buy', 'buy', 'continue', 'buy', 'continue']",0.5,0.75,0.25,0.42857142857142855,9.0,-1.25,
home,10-Contact,0,2,"['sign_in', 'home', 'menu', 'menu', 'menu', 'help']","['sign_in', 'sign_in', 'sign_in', 'home', 'home', 'item_detail', 'item_detail', 'item_detail', 'item_detail', 'popup', 'item_detail', 'popup']","['email', 'menu', 'up', 'help', 'contact']","['email', 'password', 'sign_in', 'category_i', 'item_i', 'buy', 'category_i', 'buy', 'buy', 'continue', 'buy', 'continue']",0.5,0.2,0.5,0.14285714285714285,11.0,-1.2,
home,10-Contact,0,3,"['home', 'home', 'menu', 'menu']","['sign_in', 'sign_in', 'sign_in', 'home', 'home', 'item_detail', 'item_detail', 'item_detail', 'item_detail', 'popup', 'item_detail', 'popup']","['category_i', 'menu', 'contact']","['email', 'password', 'sign_in', 'category_i', 'item_i', 'buy', 'category_i', 'buy', 'buy', 'continue', 'buy', 'continue']",0.5,0.3333333333333333,0.25,0.14285714285714285,11.0,-2.6666666666666665,
home,10-Contact,0,4,"['home', 'menu', 'menu']","['sign_in', 'sign_in', 'sign_in', 'home', 'home', 'item_detail', 'item_detail', 'item_detail', 'item_detail', 'popup', 'item_detail', 'popup']","['menu', 'contact']","['email', 'password', 'sign_in', 'category_i', 'item_i', 'buy', 'category_i', 'buy', 'buy', 'continue', 'buy', 'continue']",0.5,0.0,0.25,0.0,12.0,-5.0,
home,10-Contact,0,5,"['sign_in', 'home', 'menu', 'menu', 'menu']","['sign_in', 'sign_in', 'sign_in', 'home', 'home', 'item_detail', 'item_detail', 'item_detail', 'item_detail', 'popup', 'item_detail', 'popup']","['pick_google_account', 'menu', 'up', 'help']","['email', 'password', 'sign_in', 'category_i', 'item_i', 'buy', 'category_i', 'buy', 'buy', 'continue', 'buy', 'continue']",0.6666666666666666,0.0,0.5,0.0,12.0,-2.0,
abc,10-Contact,0,0,"['get_started', 'popup', 'menu', 'setting', 'setting']","['popup', 'menu', 'menu', 'menu']","['bypass', 'apply', 'menu_settings', 'contact']","['continuw', 'up', 'category']",0.5,0.0,1.0,0.0,4.0,0.0,
abc,10-Contact,0,1,"['get_started', 'menu', 'menu']","['popup', 'menu', 'menu', 'menu']","['bypass', 'menu_settings']","['continuw', 'up', 'category']",0.5,0.0,0.5,0.0,3.0,-0.5,
usatoday,10-Contact,0,0,"['get_started', 'get_started', 'home', 'category', 'category', 'category', 'category']","['get_started', 'get_started', 'get_started', 'home', 'category', 'category', 'category', 'category', 'home', 'account']","['continue', 'continue', 'category', 'menu_more', 'up', 'contact']","['continue', 'continue', 'contine', 'account', 'up', 'account', 'account', 'account']",1.0,0.4,0.75,0.5,5.0,0.16666666666666666,
usatoday,10-Contact,0,1,"['get_started', 'get_started', 'home', 'category', 'category']","['get_started', 'get_started', 'get_started', 'home', 'category', 'category', 'category', 'category', 'home', 'account']","['continue', 'continue', 'category', 'contact']","['continue', 'continue', 'contine', 'account', 'up', 'account', 'account', 'account']",1.0,0.3333333333333333,0.75,0.25,6.0,-0.5,
