AUT,usage,test_id,human_video_id,human_states,generated_states,human_transitions,generated_transitions,state_coverage,transition_coverage,state_recall,transition_recall,effort,reduction,core_flag
abc,5-Terms,0,0,"['get_started', 'get_started', 'popup', 'popup', 'home', 'menu', 'menu', 'menu', 'setting']","['get_started', 'popup', 'popup', 'menu', 'menu', 'menu', 'menu', 'menu', 'menu', 'items', 'menu', 'items']","['continue', 'continue', 'continue', 'apply', 'menu', 'search_bar', 'menu_settings', 'legal']","['continue', 'continue', 'deny', 'category_i', 'category_i', 'up', 'menu', 'unknown', 'category_i', 'unknown']",0.6,0.3333333333333333,0.75,0.3333333333333333,7.0,0.125,
abc,5-Terms,0,1,"['get_started', 'popup', 'popup', 'home', 'category', 'category', 'category', 'setting']","['get_started', 'popup', 'popup', 'menu', 'menu', 'menu', 'menu', 'menu', 'menu', 'items', 'menu', 'items']","['bypass', 'continue', 'apply', 'menu', 'up', 'menu_settings', 'legal']","['continue', 'continue', 'deny', 'category_i', 'category_i', 'up', 'menu', 'unknown', 'category_i', 'unknown']",0.4,0.42857142857142855,0.5,0.5,8.0,-0.14285714285714285,
abc,5-Terms,0,2,"['get_started', 'get_started', 'setting', 'category', 'get_started', 'popup', 'popup', 'home', 'menu', 'menu', 'menu']","['get_started', 'popup', 'popup', 'menu', 'menu', 'menu', 'menu', 'menu', 'menu', 'items', 'menu', 'items']","['continue', 'add', 'legal', 'add', 'continue', 'continue', 'apply', 'menu', 'up', 'menu_settings']","['continue', 'continue', 'deny', 'category_i', 'category_i', 'up', 'menu', 'unknown', 'category_i', 'unknown']",0.5,0.42857142857142855,0.75,0.5,9.0,0.1,
aliexpress,5-Terms,0,0,"['home', 'account', 'account', 'signin_or_signup', 'setting', 'setting']","['home', 'menu', 'menu', 'setting', 'setting']","['account', 'help', 'continue', 'legal']","['account', 'menu_settings', 'legal']",0.5,0.5,0.6666666666666666,0.6666666666666666,2.0,0.5,
aliexpress,5-Terms,0,1,"['home', 'search', 'home', 'items', 'setting', 'setting']","['home', 'menu', 'menu', 'setting', 'setting']","['search_bar', 'category_i', 'menu_more', 'menu_settings', 'legal']","['account', 'menu_settings', 'legal']",0.5,0.4,0.6666666666666666,0.6666666666666666,3.0,0.4,
aliexpress,5-Terms,0,2,"['home', 'setting', 'setting', 'setting']","['home', 'menu', 'menu', 'setting', 'setting']","['account', 'up', 'legal']","['account', 'menu_settings', 'legal']",1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,
etsy,5-Terms,0,0,"['signin_or_signup', 'sign_up']","['get_started', 'account', 'get_started', 'menu', 'get_started', 'menu', 'menu', 'menu', 'get_started', 'menu']","['to_signin_or_signup', 'multi_form']","['menu', 'cart', 'menu', 'to_search', 'menu', 'unknown', 'menu', 'cart', 'menu', 'unknown']",0.0,0.0,0.0,0.0,10.0,-4.0,
etsy,5-Terms,0,1,"['get_started', 'menu', 'terms']","['get_started', 'account', 'get_started', 'menu', 'get_started', 'menu', 'menu', 'menu', 'get_started', 'menu']","['menu', 'menu_settings', 'legal']","['menu', 'cart', 'menu', 'to_search', 'menu', 'unknown', 'menu', 'cart', 'menu', 'unknown']",0.6666666666666666,0.3333333333333333,0.6666666666666666,0.25,9.0,-2.0,
