AUT,usage,test_id,human_video_id,human_states,generated_states,human_transitions,generated_transitions,state_coverage,transition_coverage,state_recall,transition_recall,effort,reduction,core_flag
fox,17-RemoveBookmark,0,0,"['popup', 'home', 'item_detail', 'item_detail', 'item_detail', 'item_detail']","['popup', 'home', 'item_detail', 'item_detail']","['apply', 'item_i', 'save_bookmark', 'continue', 'remove_bookmark']","['continue', 'item_i', 'save_bookmark', 'remove_bookmark']",1.0,0.8,1.0,1.0,2.0,0.6,
fox,17-RemoveBookmark,0,1,"['popup', 'home', 'items', 'items', 'item_detail', 'item_detail', 'items', 'item_detail']","['popup', 'home', 'item_detail', 'item_detail']","['apply', 'category', 'item_i', 'save_bookmark', 'bookmark', 'item_i', 'remove_bookmark']","['continue', 'item_i', 'save_bookmark', 'remove_bookmark']",0.75,0.5,1.0,0.75,4.0,0.42857142857142855,
fox,17-RemoveBookmark,0,2,"['popup', 'home', 'home', 'item_detail', 'item_detail']","['popup', 'home', 'item_detail', 'item_detail']","['apply', 'item_i', 'save_bookmark', 'remove_bookmark']","['continue', 'item_i', 'save_bookmark', 'remove_bookmark']",1.0,0.75,1.0,0.75,1.0,0.75,
reuters,17-RemoveBookmark,0,0,"['popup', 'popup', 'items', 'items', 'item_detail', 'item_detail']","['popup', 'home', 'item_detail', 'item_detail']","['continue', 'continue', 'category_i', 'item_i', 'save_bookmark', 'remove_bookmark']","['apply', 'item_i', 'save_bookmark', 'remove_bookmark']",0.6666666666666666,0.6,0.6666666666666666,0.75,3.0,0.5,
reuters,17-RemoveBookmark,0,1,"['popup', 'items', 'popup', 'items', 'items', 'item_detail', 'item_detail', 'items', 'menu', 'menu', 'menu', 'bookmark', 'items', 'bookmark', 'items', 'items', 'menu', 'items', 'menu', 'menu', 'menu']","['popup', 'home', 'item_detail', 'item_detail']","['continue', 'continue', 'item_i', 'save_bookmark', 'back', 'menu', 'category', 'bookmark', 'menu_more', 'item_i', 'remove_bookmark', 'menu', 'category_i', 'menu', 'category', 'category_i']","['apply', 'item_i', 'save_bookmark', 'remove_bookmark']",0.4,0.3,0.6666666666666666,0.75,13.0,0.1875,
reuters,17-RemoveBookmark,0,2,"['items', 'items', 'items', 'item_detail', 'item_detail', 'items', 'menu', 'bookmark', 'bookmark', 'bookmark']","['popup', 'home', 'item_detail', 'item_detail']","['category_i', 'item_i', 'save_bookmark', 'back', 'menu', 'bookmark', 'menu_more', 'edit', 'remove_bookmark']","['apply', 'item_i', 'save_bookmark', 'remove_bookmark']",0.25,0.3333333333333333,0.3333333333333333,0.75,6.0,0.3333333333333333,
reuters,17-RemoveBookmark,0,3,"['popup', 'popup', 'item_detail', 'items', 'item_detail', 'items', 'items', 'items', 'items', 'item_detail', 'item_detail', 'items', 'items']","['popup', 'home', 'item_detail', 'item_detail']","['continue', 'apply', 'back', 'item_i', 'remove_bookmark', 'item_i', 'item_i', 'save_bookmark', 'back', 'item_i']","['apply', 'item_i', 'save_bookmark', 'remove_bookmark']",0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,7.0,0.3,
reuters,17-RemoveBookmark,0,4,"['popup', 'items', 'item_detail', 'items', 'item_detail', 'item_detail', 'items', 'items', 'items', 'menu', 'bookmark']","['popup', 'home', 'item_detail', 'item_detail']","['continue', 'remove_bookmark', 'item_i', 'save_bookmark', 'back', 'menu_more', 'menu', 'menu', 'bookmark', 'item_i']","['apply', 'item_i', 'save_bookmark', 'remove_bookmark']",0.4,0.375,0.6666666666666666,0.75,8.0,0.2,
guardian,17-RemoveBookmark,0,0,"['get_started', 'account', 'item_detail', 'home', 'home', 'home', 'home', 'home', 'home', 'item_detail', 'sign_in']","['get_started', 'home', 'item_detail', 'item_detail']","['continue', 'back', 'remove_bookmark', 'up', 'down', 'item_i', 'remove_bookmark']","['continue', 'item_i', 'save_bookmark', 'remove_bookmark']",0.6,0.5,1.0,0.75,5.0,0.2857142857142857,
guardian,17-RemoveBookmark,0,1,"['get_started', 'home', 'menu', 'menu', 'account', 'sign_in', 'bookmark', 'item_detail']","['get_started', 'home', 'item_detail', 'item_detail']","['bypass', 'menu', 'category', 'bookmark', 'to_signin_or_signup', 'pick_google_account', 'item_i', 'remove_bookmark']","['continue', 'item_i', 'save_bookmark', 'remove_bookmark']",0.42857142857142855,0.25,1.0,0.5,7.0,0.125,
