AUT,usage,test_id,human_video_id,human_states,generated_states,human_transitions,generated_transitions,state_coverage,transition_coverage,state_recall,transition_recall,effort,reduction,core_flag
aliexpress,1-SignIn,0,0,"['signin_or_signup', 'sign_in', 'sign_in', 'sign_in']","['home', 'account', 'signin_or_signup', 'sign_in']","['to_signin_or_signup', 'email', 'password', 'sign_in']","['account', 'to_signin_or_signup', 'to_signin_or_signup', 'sign_in']",1.0,0.5,0.5,0.6666666666666666,3.0,0.25,
aliexpress,1-SignIn,0,1,"['home', 'cart', 'item_detail', 'item_detail', 'item_detail', 'signin_or_signup', 'sign_in', 'sign_in', 'sign_in']","['home', 'account', 'signin_or_signup', 'sign_in']","['cart', 'cart', 'buy', 'number', 'continue', 'to_signin_or_signup', 'email', 'password', 'sign_in']","['account', 'to_signin_or_signup', 'to_signin_or_signup', 'sign_in']",0.6,0.25,0.75,0.6666666666666666,7.0,0.2222222222222222,
aliexpress,1-SignIn,0,2,"['home', 'account', 'signin_or_signup', 'sign_in', 'sign_in', 'sign_in']","['home', 'account', 'signin_or_signup', 'sign_in']","['account', 'to_signin_or_signup', 'to_signin_or_signup', 'email', 'password', 'sign_in']","['account', 'to_signin_or_signup', 'to_signin_or_signup', 'sign_in']",1.0,0.6,1.0,1.0,2.0,0.6666666666666666,
wish,1-SignIn,0,0,"['sign_in', 'sign_in', 'sign_in', 'sign_in']","['sign_in', 'sign_in', 'sign_in']","['password', 'password', 'sign_in']","['email', 'password', 'sign_in']",1.0,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,
wish,1-SignIn,0,1,"['sign_in', 'sign_in', 'sign_in', 'sign_in', 'popup']","['sign_in', 'sign_in', 'sign_in']","['email', 'password', 'sign_in', 'continue']","['email', 'password', 'sign_in']",0.5,0.75,1.0,1.0,1.0,0.75,
wish,1-SignIn,0,2,"['pwd_assistant', 'popup', 'sign_in', 'sign_in']","['sign_in', 'sign_in', 'sign_in']","['continue', 'continue', 'password', 'sign_in']","['email', 'password', 'sign_in']",0.3333333333333333,0.6666666666666666,1.0,0.6666666666666666,2.0,0.5,
wish,1-SignIn,0,3,"['sign_in', 'sign_in', 'sign_in', 'sign_in', 'popup', 'pwd_assistant', 'sign_in', 'sign_in', 'sign_in', 'popup']","['sign_in', 'sign_in', 'sign_in']","['email', 'password', 'sign_in', 'continue', 'back', 'email', 'password', 'sign_in', 'continue']","['email', 'password', 'sign_in']",0.3333333333333333,0.6,1.0,1.0,6.0,0.3333333333333333,
etsy,1-SignIn,0,0,"['get_started', 'signin_or_signup', 'sign_in']","['get_started', 'signin_or_signup', 'sign_in', 'sign_in', 'sign_in']","['continue', 'to_signin_or_signup', 'sign_in']","['to_signin_or_signup', 'to_signin_or_signup', 'email', 'password', 'sign_in']",1.0,0.6666666666666666,1.0,0.5,3.0,0.0,
etsy,1-SignIn,0,1,"['get_started', 'signin_or_signup', 'sign_in', 'sign_in', 'sign_in', 'sign_in']","['get_started', 'signin_or_signup', 'sign_in', 'sign_in', 'sign_in']","['continue', 'to_signin_or_signup', 'multi_form', 'sign_in', 'password', 'sign_in']","['to_signin_or_signup', 'to_signin_or_signup', 'email', 'password', 'sign_in']",1.0,0.6,1.0,0.75,3.0,0.5,
