AUT,usage,test_id,human_video_id,human_states,generated_states,human_transitions,generated_transitions,state_coverage,transition_coverage,state_recall,transition_recall,effort,reduction,core_flag
abc,7-Detail,0,0,"['popup', 'popup', 'menu', 'items']","['get_started', 'get_started', 'category', 'search', 'search', 'search', 'items']","['continue', 'apply', 'search_bar', 'item_i']","['continue', 'continue', 'search_bar', 'search_bar', 'category_i', 'category_i', 'item_i']",0.3333333333333333,0.75,0.25,0.75,4.0,0.0,
aliexpress,7-Detail,0,0,"['search', 'items']","['home', 'search', 'search', 'search', 'items']","['category_i', 'item_i']","['to_search', 'search_bar', 'search', 'search', 'item_i']",1.0,0.5,0.6666666666666666,0.25,4.0,-1.0,
aliexpress,7-Detail,0,1,"['search', 'items', 'items']","['home', 'search', 'search', 'search', 'items']","['category_i', 'item_i', 'item_i']","['to_search', 'search_bar', 'search', 'search', 'item_i']",1.0,0.5,0.6666666666666666,0.25,4.0,-0.3333333333333333,
etsy,7-Detail,0,0,"['get_started', 'category', 'category', 'category', 'items', 'items']","['home', 'category', 'category', 'items']","['to_search', 'category_i', 'search', 'item_i']","['to_search', 'category_i', 'category_i', 'item_i']",0.6666666666666666,0.75,0.6666666666666666,1.0,1.0,0.75,
etsy,7-Detail,0,1,"['get_started', 'category', 'items']","['home', 'category', 'category', 'items']","['to_search', 'search_bar', 'item_i']","['to_search', 'category_i', 'category_i', 'item_i']",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,2.0,0.3333333333333333,
etsy,7-Detail,0,2,"['get_started', 'category', 'items', 'items']","['home', 'category', 'category', 'items']","['to_search', 'search_bar', 'item_i']","['to_search', 'category_i', 'category_i', 'item_i']",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,2.0,0.3333333333333333,
etsy,7-Detail,0,3,"['get_started', 'category', 'items', 'item_detail']","['home', 'category', 'category', 'items']","['to_search', 'search_bar', 'item_i', 'item_i']","['to_search', 'category_i', 'category_i', 'item_i']",0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,2.0,0.5,
