AUT,usage,test_id,human_video_id,human_states,generated_states,human_transitions,generated_transitions,state_coverage,transition_coverage,state_recall,transition_recall,effort,reduction,core_flag
home,12-AddCart,0,0,"['home', 'items', 'filter', 'item_detail', 'item_detail', 'item_detail', 'item_detail', 'popup', 'item_detail', 'item_detail', 'filter', 'popup', 'search', 'search', 'search', 'items', 'items', 'items', 'items', 'item_detail']","['popup', 'sign_in', 'sign_in', 'sign_in', 'items', 'items', 'filter', 'filter', 'filter']","['search_bar', 'back', 'continue', 'menu_more', 'save_bookmark', 'continue', 'buy', 'apply', 'continue', 'search_bar', 'search', 'up', 'up', 'item_i', 'buy']","['continue', 'email', 'password', 'sign_in', 'item_i', 'filter', 'filter_option', 'filter_option', 'apply']",0.5,0.3,0.75,0.375,14.0,0.06666666666666667,
home,12-AddCart,0,1,"['items', 'items', 'item_detail', 'filter', 'items', 'items', 'items', 'items', 'items', 'items', 'item_detail', 'item_detail']","['popup', 'sign_in', 'sign_in', 'sign_in', 'items', 'items', 'filter', 'filter', 'filter']","['search_bar', 'buy', 'item_option', 'item_i', 'item_i', 'item_i', 'up', 'up']","['continue', 'email', 'password', 'sign_in', 'item_i', 'filter', 'filter_option', 'filter_option', 'apply']",0.6666666666666666,0.2,0.5,0.125,8.0,0.0,
aliexpress,12-AddCart,0,0,"['popup', 'search', 'item_detail', 'item_detail', 'item_detail', 'item_detail', 'filter', 'filter', 'filter', 'item_detail', 'item_detail', 'popup', 'items', 'items', 'items', 'items', 'items', 'items', 'item_detail', 'item_detail']","['home', 'search', 'search', 'items', 'filter', 'items', 'popup', 'item_detail']","['search_bar', 'search', 'item_option', 'continue', 'item_option', 'add', 'continue', 'cart', 'continue', 'item_i', 'menu_more', 'item_i', 'item_i', 'item_i', 'item_i', 'up', 'up']","['to_search', 'search_bar', 'search', 'filter', 'filter_option', 'item_i', 'unknown', 'add_cart']",1.0,0.3333333333333333,0.8333333333333334,0.375,15.0,0.11764705882352941,
aliexpress,12-AddCart,0,1,"['home', 'item_detail', 'item_detail', 'item_detail', 'item_detail', 'item_detail', 'item_detail', 'item_detail', 'item_detail', 'item_detail', 'item_detail']","['home', 'search', 'search', 'items', 'filter', 'items', 'popup', 'item_detail']","['search_bar', 'cart', 'up', 'popup', 'up', 'item_option', 'item_option']","['to_search', 'search_bar', 'search', 'filter', 'filter_option', 'item_i', 'unknown', 'add_cart']",1.0,0.2,0.3333333333333333,0.125,7.0,0.0,
aliexpress,12-AddCart,0,2,"['account', 'signin_or_signup', 'item_detail', 'item_detail', 'popup', 'sign_up', 'sign_up', 'popup', 'account', 'search', 'items', 'item_detail', 'item_detail']","['home', 'search', 'search', 'items', 'filter', 'items', 'popup', 'item_detail']","['to_signin_or_signup', 'to_signin_or_signup', 'continue', 'cart', 'continue', 'password', 'sign_up', 'continue', 'to_home', 'search', 'item_i', 'add_cart', 'item_option']","['to_search', 'search_bar', 'search', 'filter', 'filter_option', 'item_i', 'unknown', 'add_cart']",0.5714285714285714,0.3,0.6666666666666666,0.375,12.0,0.07692307692307693,
geek,12-AddCart,0,0,"['signin_or_signup', 'sign_in', 'item_detail', 'item_detail', 'popup', 'item_detail', 'sign_in', 'sign_in', 'items', 'search', 'items', 'item_detail', 'item_detail', 'item_detail']","['signin_or_signup', 'popup', 'sign_in', 'sign_in', 'sign_in', 'popup', 'items', 'item_detail', 'item_detail', 'item_detail']","['to_signin_or_signup', 'email', 'buy', 'continue', 'cart', 'password', 'sign_in', 'to_search', 'search_bar', 'item_i', 'up']","['to_signin_or_signup', 'continue', 'email', 'password', 'sign_in', 'continue', 'item_i', 'buy', 'item_option', 'cart']",0.8333333333333334,0.7272727272727273,1.0,0.8888888888888888,8.0,0.2727272727272727,
geek,12-AddCart,0,1,"['signin_or_signup', 'sign_in', 'filter', 'filter', 'sign_in', 'popup', 'sign_in', 'popup', 'home', 'search', 'item_detail', 'item_detail']","['signin_or_signup', 'popup', 'sign_in', 'sign_in', 'sign_in', 'popup', 'items', 'item_detail', 'item_detail', 'item_detail']","['to_signin_or_signup', 'email', 'item_option', 'filter_option', 'password', 'continue', 'password', 'continue', 'to_search', 'search_bar', 'buy']","['to_signin_or_signup', 'continue', 'email', 'password', 'sign_in', 'continue', 'item_i', 'buy', 'item_option', 'cart']",0.5714285714285714,0.6666666666666666,0.8,0.6666666666666666,9.0,0.18181818181818182,
